COMMUNE,DCLT,TRANS,AGEREVQ,IPONDI,ILTUU
1001,1427,5,35,4.928460389916803,2
1001,1443,5,35,4.928460389916803,2
1001,1443,5,35,4.760069224241159,2
1001,1451,5,45,4.843533072555049,2
1001,1457,5,50,4.885812204264465,2
1001,69005,5,25,4.760069224241159,2
1001,69019,5,40,4.843533072555049,2
1001,69019,5,40,4.843533072555049,2
1001,69029,5,45,4.843533072555049,2
1001,69029,5,50,4.843533072555049,2
1001,69063,5,50,4.843533072555049,2
1001,69115,5,35,4.885812204264465,2
1001,69143,5,55,4.760069224241159,2
1001,69256,5,35,4.885812204264465,2
1001,69264,5,45,4.843533072555049,2
1001,69264,5,25,4.801619801198707,2
1001,69264,5,45,4.843533072555049,2
1001,69271,5,55,4.801619801198707,2
1001,69275,5,35,4.928460389916803,2
1001,69275,5,30,4.928460389916803,2
1001,69278,5,50,4.801619801198707,2
1001,69278,5,45,4.801619801198707,2
1001,69286,5,45,4.843533072555049,2
1001,69382,6,45,4.801619801198707,2
1001,71270,5,25,4.843533072555049,2
1001,73227,5,60,4.801619801198707,2
1002,1002,5,30,5.040523698772973,1
1002,1002,1,55,4.740839571410466,1
1002,1002,5,35,4.888385644747677,1
1002,1002,5,30,5.040523698772973,1
1002,1004,5,40,5.040523698772973,2
1002,1004,5,60,4.59774687907453,2
1002,1007,5,35,4.888385644747677,2
1002,1007,5,40,5.197396646721272,2
1002,1033,5,45,4.888385644747677,2
1002,1053,5,40,5.040523698772973,2
1002,1074,5,45,4.740839571410466,2
1002,1142,5,50,4.888385644747677,2
1002,1173,5,55,4.59774687907453,2
1002,1273,5,35,5.040523698772973,2
1002,1273,5,35,5.040523698772973,2
1002,1390,5,55,4.740839571410466,2
1002,1390,5,40,5.040523698772973,2
1002,1416,5,35,5.197396646721272,2
1002,1431,5,50,4.888385644747677,2
1002,69277,5,35,4.888385644747677,2
1002,69285,5,35,4.888385644747677,2
1002,73065,5,50,4.740839571410466,2
1002,92036,6,60,4.59774687907453,2
1004,1004,5,45,1.2944651215345426,3
1004,1004,2,20,1.2944651215345426,3
1004,1004,3,45,1.2944651215345426,3
1004,1004,5,15,1.2944651215345426,3
1004,1004,5,35,1.2944651215345426,3
1004,1004,2,25,5.819278241591143,3
1004,1004,5,60,5.819278241591143,3
1004,1004,1,50,5.819278241591143,3
1004,1004,5,60,5.819278241591143,3
1004,1004,5,40,5.819278241591143,3
1004,1004,1,40,5.819278241591143,3
1004,1004,3,35,5.819278241591143,3
1004,1004,5,50,5.819278241591143,3
1004,1004,5,40,5.819278241591143,3
1004,1004,5,35,1.2944651215345426,3
1004,1004,5,20,1.2944651215345426,3
1004,1004,2,35,1.2944651215345426,3
1004,1004,5,30,1.2944651215345426,3
1004,1004,5,25,1.2944651215345426,3
1004,1004,5,55,1.2944651215345426,3
1004,1004,5,30,1.2944651215345426,3
1004,1004,1,35,1.2944651215345426,3
1004,1004,5,25,1.2944651215345426,3
1004,1004,2,50,1.2944651215345426,3
1004,1004,5,35,1.2944651215345426,3
1004,1004,5,25,1.2944651215345426,3
1004,1004,5,30,5.819278241591143,3
1004,1004,5,55,5.819278241591143,3
1004,1004,5,45,5.819278241591143,3
1004,1004,2,50,5.819278241591143,3
1004,1004,2,35,5.819278241591143,3
1004,1004,3,60,5.819278241591143,3
1004,1004,2,20,5.819278241591143,3
1004,1004,2,20,5.819278241591143,3
1004,1004,2,25,5.819278241591143,3
1004,1004,2,20,5.819278241591143,3
1004,1004,2,25,5.819278241591143,3
1004,1004,3,30,5.819278241591143,3
1004,1004,5,45,5.819278241591143,3
1004,1004,2,35,5.819278241591143,3
1004,1004,2,20,5.819278241591143,3
1004,1004,2,30,5.819278241591143,3
1004,1004,5,25,1.2944651215345426,3
1004,1004,5,30,1.2944651215345426,3
1004,1004,5,25,1.2944651215345426,3
1004,1004,5,40,5.819278241591143,3
1004,1004,2,20,5.819278241591143,3
1004,1004,5,35,5.819278241591143,3
1004,1004,3,20,1.2944651215345426,3
1004,1004,5,45,5.819278241591143,3
1004,1004,5,50,5.819278241591143,3
1004,1004,2,35,5.819278241591143,3
1004,1004,5,30,1.2944651215345426,3
1004,1004,5,35,1.2944651215345426,3
1004,1004,5,35,1.2944651215345426,3
1004,1004,5,45,1.2944651215345426,3
1004,1004,5,30,1.2944651215345426,3
1004,1004,5,50,1.2944651215345426,3
1004,1004,5,35,1.2944651215345426,3
1004,1004,6,45,1.2944651215345426,3
1004,1004,5,50,6.3332362662066135,3
1004,1004,2,20,1.4087921409993496,3
1004,1004,3,30,1.4087921409993496,3
1004,1004,5,30,1.4087921409993496,3
1004,1004,2,20,1.4087921409993496,3
