,COMMUNE,DCLT,TRANS,AGEREVQ,IPONDI,ILTUU
1211,Ambérieu-en-Bugey (01004),Loyettes (01224),"Voiture, camion, fourgonnette",30 à 34 ans,3.52,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1212,Ambérieu-en-Bugey (01004),Loyettes (01224),"Voiture, camion, fourgonnette",40 à 44 ans,1.24,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1213,Ambérieu-en-Bugey (01004),Loyettes (01224),"Voiture, camion, fourgonnette",55 à 59 ans,1.29,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1214,Ambérieu-en-Bugey (01004),Maillat (01228),"Voiture, camion, fourgonnette",50 à 54 ans,4.79,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1215,Ambérieu-en-Bugey (01004),Martignat (01237),"Voiture, camion, fourgonnette",50 à 54 ans,4.21,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1216,Ambérieu-en-Bugey (01004),Meximieux (01244),"Voiture, camion, fourgonnette",30 à 34 ans,1.24,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1217,Ambérieu-en-Bugey (01004),Meximieux (01244),"Voiture, camion, fourgonnette",40 à 44 ans,4.09,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1218,Ambérieu-en-Bugey (01004),Meximieux (01244),"Voiture, camion, fourgonnette",30 à 34 ans,4.4,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1219,Ambérieu-en-Bugey (01004),Meximieux (01244),"Voiture, camion, fourgonnette",20 à 24 ans,1.41,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1220,Ambérieu-en-Bugey (01004),Meximieux (01244),"Voiture, camion, fourgonnette",20 à 24 ans,4.4,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1222,Ambérieu-en-Bugey (01004),Meximieux (01244),"Voiture, camion, fourgonnette",25 à 29 ans,4.09,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1223,Ambérieu-en-Bugey (01004),Meximieux (01244),"Voiture, camion, fourgonnette",25 à 29 ans,1.29,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1224,Ambérieu-en-Bugey (01004),Meximieux (01244),"Voiture, camion, fourgonnette",15 à 19 ans,5.82,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1225,Ambérieu-en-Bugey (01004),Meximieux (01244),"Voiture, camion, fourgonnette",30 à 34 ans,1.29,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1226,Ambérieu-en-Bugey (01004),Meximieux (01244),Transports en commun,45 à 49 ans,5.41,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1227,Ambérieu-en-Bugey (01004),Meximieux (01244),"Voiture, camion, fourgonnette",35 à 39 ans,1.24,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1228,Ambérieu-en-Bugey (01004),Meximieux (01244),"Voiture, camion, fourgonnette",35 à 39 ans,5.56,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1231,Ambérieu-en-Bugey (01004),Meximieux (01244),"Voiture, camion, fourgonnette",20 à 24 ans,1.29,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1232,Ambérieu-en-Bugey (01004),Meximieux (01244),"Voiture, camion, fourgonnette",35 à 39 ans,1.29,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1233,Ambérieu-en-Bugey (01004),Meximieux (01244),Transports en commun,20 à 24 ans,3.79,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1234,Ambérieu-en-Bugey (01004),Meximieux (01244),"Voiture, camion, fourgonnette",25 à 29 ans,3.62,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1235,Ambérieu-en-Bugey (01004),Meximieux (01244),"Voiture, camion, fourgonnette",35 à 39 ans,4.12,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1236,Ambérieu-en-Bugey (01004),Meximieux (01244),"Voiture, camion, fourgonnette",25 à 29 ans,3.79,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1237,Ambérieu-en-Bugey (01004),Meximieux (01244),"Voiture, camion, fourgonnette",30 à 34 ans,4.12,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1238,Ambérieu-en-Bugey (01004),Meximieux (01244),Transports en commun,55 à 59 ans,4.12,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1240,Ambérieu-en-Bugey (01004),Meximieux (01244),"Voiture, camion, fourgonnette",45 à 49 ans,3.59,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1241,Ambérieu-en-Bugey (01004),Meximieux (01244),"Voiture, camion, fourgonnette",40 à 44 ans,1.24,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1242,Ambérieu-en-Bugey (01004),Meximieux (01244),"Voiture, camion, fourgonnette",35 à 39 ans,3.76,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1243,Ambérieu-en-Bugey (01004),Meximieux (01244),"Voiture, camion, fourgonnette",45 à 49 ans,3.76,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1244,Ambérieu-en-Bugey (01004),Meximieux (01244),"Voiture, camion, fourgonnette",60 à 64 ans,3.49,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1245,Ambérieu-en-Bugey (01004),Meximieux (01244),"Voiture, camion, fourgonnette",60 à 64 ans,1.24,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1246,Ambérieu-en-Bugey (01004),Meximieux (01244),"Voiture, camion, fourgonnette",25 à 29 ans,1.24,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1247,Ambérieu-en-Bugey (01004),Mionnay (01248),"Voiture, camion, fourgonnette",35 à 39 ans,5.56,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1248,Ambérieu-en-Bugey (01004),Miribel (01249),"Voiture, camion, fourgonnette",50 à 54 ans,1.29,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1249,Ambérieu-en-Bugey (01004),Miribel (01249),"Voiture, camion, fourgonnette",25 à 29 ans,1.29,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1250,Ambérieu-en-Bugey (01004),Miribel (01249),Transports en commun,45 à 49 ans,1.29,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1251,Ambérieu-en-Bugey (01004),Miribel (01249),Transports en commun,35 à 39 ans,1.24,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1253,Ambérieu-en-Bugey (01004),Miribel (01249),"Voiture, camion, fourgonnette",20 à 24 ans,1.24,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1254,Ambérieu-en-Bugey (01004),Miribel (01249),"Voiture, camion, fourgonnette",45 à 49 ans,3.59,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1255,Ambérieu-en-Bugey (01004),Miribel (01249),Transports en commun,30 à 34 ans,1.24,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1256,Ambérieu-en-Bugey (01004),Miribel (01249),"Voiture, camion, fourgonnette",25 à 29 ans,1.2,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1257,Ambérieu-en-Bugey (01004),Miribel (01249),"Voiture, camion, fourgonnette",55 à 59 ans,1.2,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1258,Ambérieu-en-Bugey (01004),Miribel (01249),"Voiture, camion, fourgonnette",50 à 54 ans,3.62,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1259,Ambérieu-en-Bugey (01004),Montagnat (01254),"Voiture, camion, fourgonnette",20 à 24 ans,3.62,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1260,Ambérieu-en-Bugey (01004),Montagnat (01254),"Voiture, camion, fourgonnette",20 à 24 ans,1.29,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1261,Ambérieu-en-Bugey (01004),Montagnat (01254),"Voiture, camion, fourgonnette",40 à 44 ans,5.82,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1262,Ambérieu-en-Bugey (01004),Montagnieu (01255),"Voiture, camion, fourgonnette",55 à 59 ans,5.56,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1263,Ambérieu-en-Bugey (01004),Montluel (01262),"Voiture, camion, fourgonnette",25 à 29 ans,1.29,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1264,Ambérieu-en-Bugey (01004),Montluel (01262),Transports en commun,45 à 49 ans,5.41,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1265,Ambérieu-en-Bugey (01004),Montluel (01262),"Voiture, camion, fourgonnette",55 à 59 ans,6.33,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1266,Ambérieu-en-Bugey (01004),Montluel (01262),Transports en commun,40 à 44 ans,3.52,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1267,Ambérieu-en-Bugey (01004),Montluel (01262),Transports en commun,55 à 59 ans,4.12,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1268,Ambérieu-en-Bugey (01004),Montluel (01262),"Voiture, camion, fourgonnette",30 à 34 ans,3.52,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1269,Ambérieu-en-Bugey (01004),Montluel (01262),"Voiture, camion, fourgonnette",55 à 59 ans,3.79,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1270,Ambérieu-en-Bugey (01004),Montluel (01262),Transports en commun,50 à 54 ans,4.12,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1271,Ambérieu-en-Bugey (01004),Montluel (01262),"Voiture, camion, fourgonnette",60 à 64 ans,3.59,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1272,Ambérieu-en-Bugey (01004),Montluel (01262),"Voiture, camion, fourgonnette",50 à 54 ans,1.24,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1273,Ambérieu-en-Bugey (01004),Montluel (01262),Transports en commun,15 à 19 ans,4.09,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1274,Ambérieu-en-Bugey (01004),Montluel (01262),"Voiture, camion, fourgonnette",30 à 34 ans,3.59,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1275,Ambérieu-en-Bugey (01004),Montluel (01262),"Voiture, camion, fourgonnette",30 à 34 ans,1.24,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1276,Ambérieu-en-Bugey (01004),Montluel (01262),Transports en commun,55 à 59 ans,4.09,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1277,Ambérieu-en-Bugey (01004),Montluel (01262),Transports en commun,55 à 59 ans,4.79,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1278,Ambérieu-en-Bugey (01004),Montluel (01262),Transports en commun,45 à 49 ans,4.4,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1279,Ambérieu-en-Bugey (01004),Montréal-la-Cluse (01265),"Voiture, camion, fourgonnette",30 à 34 ans,1.2,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1280,Ambérieu-en-Bugey (01004),Montréal-la-Cluse (01265),"Voiture, camion, fourgonnette",30 à 34 ans,1.24,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1281,Ambérieu-en-Bugey (01004),Nantua (01269),"Voiture, camion, fourgonnette",25 à 29 ans,5.82,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1282,Ambérieu-en-Bugey (01004),Nantua (01269),Transports en commun,40 à 44 ans,4.4,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1283,Ambérieu-en-Bugey (01004),Neyron (01275),"Voiture, camion, fourgonnette",25 à 29 ans,3.79,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1285,Ambérieu-en-Bugey (01004),Neyron (01275),"Voiture, camion, fourgonnette",45 à 49 ans,1.24,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1287,Ambérieu-en-Bugey (01004),Oyonnax (01283),"Voiture, camion, fourgonnette",40 à 44 ans,3.76,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1288,Ambérieu-en-Bugey (01004),Oyonnax (01283),"Voiture, camion, fourgonnette",50 à 54 ans,1.24,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1289,Ambérieu-en-Bugey (01004),Oyonnax (01283),"Voiture, camion, fourgonnette",40 à 44 ans,3.49,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1290,Ambérieu-en-Bugey (01004),Oyonnax (01283),"Voiture, camion, fourgonnette",30 à 34 ans,1.41,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1291,Ambérieu-en-Bugey (01004),Oyonnax (01283),"Voiture, camion, fourgonnette",25 à 29 ans,1.24,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1292,Ambérieu-en-Bugey (01004),Oyonnax (01283),"Voiture, camion, fourgonnette",30 à 34 ans,4.4,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1293,Ambérieu-en-Bugey (01004),Oyonnax (01283),"Voiture, camion, fourgonnette",45 à 49 ans,1.24,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1294,Ambérieu-en-Bugey (01004),Oyonnax (01283),"Voiture, camion, fourgonnette",45 à 49 ans,4.21,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1296,Ambérieu-en-Bugey (01004),Oyonnax (01283),"Voiture, camion, fourgonnette",45 à 49 ans,1.2,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1297,Ambérieu-en-Bugey (01004),Oyonnax (01283),"Voiture, camion, fourgonnette",55 à 59 ans,5.82,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1299,Ambérieu-en-Bugey (01004),Oyonnax (01283),"Voiture, camion, fourgonnette",35 à 39 ans,3.62,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1300,Ambérieu-en-Bugey (01004),Oyonnax (01283),"Voiture, camion, fourgonnette",40 à 44 ans,3.62,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1302,Ambérieu-en-Bugey (01004),Oyonnax (01283),"Voiture, camion, fourgonnette",15 à 19 ans,5.0,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1303,Ambérieu-en-Bugey (01004),Péronnas (01289),"Voiture, camion, fourgonnette",60 à 64 ans,4.21,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1304,Ambérieu-en-Bugey (01004),Péronnas (01289),"Voiture, camion, fourgonnette",50 à 54 ans,4.79,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1305,Ambérieu-en-Bugey (01004),Péronnas (01289),"Voiture, camion, fourgonnette",30 à 34 ans,3.59,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1306,Ambérieu-en-Bugey (01004),Péronnas (01289),"Voiture, camion, fourgonnette",45 à 49 ans,3.62,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1307,Ambérieu-en-Bugey (01004),Péronnas (01289),"Voiture, camion, fourgonnette",50 à 54 ans,1.24,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1308,Ambérieu-en-Bugey (01004),Pérouges (01290),Transports en commun,25 à 29 ans,3.76,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1309,Ambérieu-en-Bugey (01004),Pérouges (01290),Transports en commun,30 à 34 ans,3.76,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1310,Ambérieu-en-Bugey (01004),Poncin (01303),Deux-roues motorisé,15 à 19 ans,4.79,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1311,Ambérieu-en-Bugey (01004),Poncin (01303),"Voiture, camion, fourgonnette",30 à 34 ans,1.29,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1312,Ambérieu-en-Bugey (01004),Poncin (01303),"Voiture, camion, fourgonnette",30 à 34 ans,3.79,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1313,Ambérieu-en-Bugey (01004),Poncin (01303),"Voiture, camion, fourgonnette",45 à 49 ans,1.29,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1314,Ambérieu-en-Bugey (01004),Poncin (01303),"Voiture, camion, fourgonnette",55 à 59 ans,3.79,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1315,Ambérieu-en-Bugey (01004),Poncin (01303),"Voiture, camion, fourgonnette",55 à 59 ans,5.56,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1316,Ambérieu-en-Bugey (01004),Poncin (01303),"Voiture, camion, fourgonnette",25 à 29 ans,1.41,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1317,Ambérieu-en-Bugey (01004),Pont-d'Ain (01304),"Voiture, camion, fourgonnette",25 à 29 ans,1.24,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1320,Ambérieu-en-Bugey (01004),Pont-d'Ain (01304),"Voiture, camion, fourgonnette",40 à 44 ans,1.29,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1321,Ambérieu-en-Bugey (01004),Pont-d'Ain (01304),"Voiture, camion, fourgonnette",45 à 49 ans,5.56,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1323,Ambérieu-en-Bugey (01004),Pont-d'Ain (01304),"Voiture, camion, fourgonnette",50 à 54 ans,1.29,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1324,Ambérieu-en-Bugey (01004),Pont-d'Ain (01304),"Voiture, camion, fourgonnette",40 à 44 ans,3.59,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1325,Ambérieu-en-Bugey (01004),Pont-d'Ain (01304),"Voiture, camion, fourgonnette",55 à 59 ans,3.59,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1326,Ambérieu-en-Bugey (01004),Pont-d'Ain (01304),"Voiture, camion, fourgonnette",45 à 49 ans,3.49,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1327,Ambérieu-en-Bugey (01004),Pont-d'Ain (01304),"Voiture, camion, fourgonnette",60 à 64 ans,4.12,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1328,Ambérieu-en-Bugey (01004),Pont-d'Ain (01304),Transports en commun,40 à 44 ans,3.79,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1329,Ambérieu-en-Bugey (01004),Pont-d'Ain (01304),"Voiture, camion, fourgonnette",35 à 39 ans,1.41,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1330,Ambérieu-en-Bugey (01004),Pont-d'Ain (01304),"Voiture, camion, fourgonnette",25 à 29 ans,3.79,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1331,Ambérieu-en-Bugey (01004),Pont-d'Ain (01304),"Voiture, camion, fourgonnette",60 à 64 ans,3.62,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1333,Ambérieu-en-Bugey (01004),Pont-d'Ain (01304),"Voiture, camion, fourgonnette",35 à 39 ans,3.79,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1334,Ambérieu-en-Bugey (01004),Pont-d'Ain (01304),"Voiture, camion, fourgonnette",20 à 24 ans,3.79,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1335,Ambérieu-en-Bugey (01004),Pont-d'Ain (01304),"Voiture, camion, fourgonnette",25 à 29 ans,4.12,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1336,Ambérieu-en-Bugey (01004),Pont-d'Ain (01304),Deux-roues motorisé,35 à 39 ans,4.4,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1337,Ambérieu-en-Bugey (01004),Pont-d'Ain (01304),"Voiture, camion, fourgonnette",50 à 54 ans,1.24,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1338,Ambérieu-en-Bugey (01004),Pont-d'Ain (01304),"Voiture, camion, fourgonnette",30 à 34 ans,1.24,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1339,Ambérieu-en-Bugey (01004),Pont-d'Ain (01304),Deux-roues motorisé,15 à 19 ans,4.4,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1340,Ambérieu-en-Bugey (01004),Port (01307),Transports en commun,25 à 29 ans,3.52,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1341,Ambérieu-en-Bugey (01004),Priay (01314),"Voiture, camion, fourgonnette",25 à 29 ans,1.29,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1342,Ambérieu-en-Bugey (01004),Rancé (01318),Deux-roues motorisé,15 à 19 ans,5.0,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1343,Ambérieu-en-Bugey (01004),Saint-André-de-Bâgé (01332),"Voiture, camion, fourgonnette",25 à 29 ans,3.52,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1344,Ambérieu-en-Bugey (01004),Saint-André-de-Corcy (01333),"Voiture, camion, fourgonnette",35 à 39 ans,1.29,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1345,Ambérieu-en-Bugey (01004),Groslée-Saint-Benoit (01338),"Voiture, camion, fourgonnette",20 à 24 ans,4.12,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1346,Ambérieu-en-Bugey (01004),Saint-Denis-lès-Bourg (01344),"Voiture, camion, fourgonnette",90 à 94 ans,4.12,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1347,Ambérieu-en-Bugey (01004),Saint-Denis-lès-Bourg (01344),"Voiture, camion, fourgonnette",35 à 39 ans,1.41,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1348,Ambérieu-en-Bugey (01004),Saint-Denis-lès-Bourg (01344),"Voiture, camion, fourgonnette",40 à 44 ans,3.62,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1349,Ambérieu-en-Bugey (01004),Saint-Denis-lès-Bourg (01344),"Voiture, camion, fourgonnette",35 à 39 ans,1.24,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1350,Ambérieu-en-Bugey (01004),Saint-Denis-en-Bugey (01345),"Voiture, camion, fourgonnette",35 à 39 ans,1.41,Réside dans une commune urbaine et travaille dans une autre commune de la même unité urbaine
1351,Ambérieu-en-Bugey (01004),Saint-Denis-en-Bugey (01345),"Voiture, camion, fourgonnette",55 à 59 ans,5.82,Réside dans une commune urbaine et travaille dans une autre commune de la même unité urbaine
1352,Ambérieu-en-Bugey (01004),Saint-Denis-en-Bugey (01345),"Voiture, camion, fourgonnette",60 à 64 ans,4.09,Réside dans une commune urbaine et travaille dans une autre commune de la même unité urbaine
1354,Ambérieu-en-Bugey (01004),Saint-Jean-le-Vieux (01363),"Voiture, camion, fourgonnette",45 à 49 ans,4.21,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1355,Ambérieu-en-Bugey (01004),Saint-Jean-le-Vieux (01363),"Voiture, camion, fourgonnette",25 à 29 ans,1.24,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1356,Ambérieu-en-Bugey (01004),Saint-Jean-le-Vieux (01363),"Voiture, camion, fourgonnette",65 à 69 ans,1.24,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1358,Ambérieu-en-Bugey (01004),Saint-Jean-le-Vieux (01363),"Voiture, camion, fourgonnette",35 à 39 ans,5.82,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1360,Ambérieu-en-Bugey (01004),Saint-Jean-le-Vieux (01363),"Marche à pied (ou rollers, patinette)",45 à 49 ans,5.56,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1361,Ambérieu-en-Bugey (01004),Sainte-Julie (01366),"Voiture, camion, fourgonnette",55 à 59 ans,3.62,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1362,Ambérieu-en-Bugey (01004),Sainte-Julie (01366),"Voiture, camion, fourgonnette",40 à 44 ans,1.41,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1363,Ambérieu-en-Bugey (01004),Sainte-Julie (01366),"Voiture, camion, fourgonnette",45 à 49 ans,3.52,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1364,Ambérieu-en-Bugey (01004),Sainte-Julie (01366),"Voiture, camion, fourgonnette",45 à 49 ans,1.24,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1365,Ambérieu-en-Bugey (01004),Sainte-Julie (01366),"Voiture, camion, fourgonnette",20 à 24 ans,4.12,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1367,Ambérieu-en-Bugey (01004),Saint-Martin-du-Mont (01374),"Voiture, camion, fourgonnette",35 à 39 ans,4.21,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1368,Ambérieu-en-Bugey (01004),Saint-Martin-du-Mont (01374),"Voiture, camion, fourgonnette",65 à 69 ans,1.29,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1369,Ambérieu-en-Bugey (01004),Saint-Martin-du-Mont (01374),"Voiture, camion, fourgonnette",60 à 64 ans,1.29,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1370,Ambérieu-en-Bugey (01004),Saint-Martin-du-Mont (01374),"Voiture, camion, fourgonnette",25 à 29 ans,3.76,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1371,Ambérieu-en-Bugey (01004),Saint-Maurice-de-Beynost (01376),Transports en commun,30 à 34 ans,3.59,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1372,Ambérieu-en-Bugey (01004),Saint-Maurice-de-Beynost (01376),"Voiture, camion, fourgonnette",50 à 54 ans,3.59,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1373,Ambérieu-en-Bugey (01004),Saint-Maurice-de-Beynost (01376),Transports en commun,30 à 34 ans,5.82,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1374,Ambérieu-en-Bugey (01004),Saint-Maurice-de-Beynost (01376),"Voiture, camion, fourgonnette",60 à 64 ans,4.21,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1375,Ambérieu-en-Bugey (01004),Saint-Maurice-de-Beynost (01376),"Voiture, camion, fourgonnette",55 à 59 ans,4.21,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1376,Ambérieu-en-Bugey (01004),Saint-Maurice-de-Beynost (01376),"Voiture, camion, fourgonnette",50 à 54 ans,4.21,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1377,Ambérieu-en-Bugey (01004),Saint-Maurice-de-Beynost (01376),"Voiture, camion, fourgonnette",20 à 24 ans,4.21,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1378,Ambérieu-en-Bugey (01004),Saint-Maurice-de-Rémens (01379),Transports en commun,35 à 39 ans,4.4,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1379,Ambérieu-en-Bugey (01004),Saint-Rambert-en-Bugey (01384),"Voiture, camion, fourgonnette",55 à 59 ans,4.21,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1380,Ambérieu-en-Bugey (01004),Saint-Rambert-en-Bugey (01384),"Voiture, camion, fourgonnette",20 à 24 ans,1.29,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1382,Ambérieu-en-Bugey (01004),Saint-Rambert-en-Bugey (01384),Vélo (y compris à assistance électrique),35 à 39 ans,1.29,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1383,Ambérieu-en-Bugey (01004),Saint-Rambert-en-Bugey (01384),"Voiture, camion, fourgonnette",35 à 39 ans,5.82,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1384,Ambérieu-en-Bugey (01004),Saint-Rambert-en-Bugey (01384),"Voiture, camion, fourgonnette",60 à 64 ans,1.24,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
1386,Ambérieu-en-Bugey (01004),Saint-Rambert-en-Bugey (01384),"Voiture, camion, fourgonnette",50 à 54 ans,1.29,Réside dans une commune urbaine et travaille en dehors de l'unité urbaine
